Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
iou_word_sep,1.6,1.6,1.6,0.1854,0.3488,0.107,0.6951,,,0.1131,0.0641,
iou_word_sep,1.6,100.0%,1.0,0.1854,0.3488,0.107,0.6951,,,0.1131,0.0641,
window,1.6,1.6,1.6,0.1854,0.3488,0.107,0.6951,0.356,0.443,,,
window,1.6,100.0%,1.0,0.1854,0.3488,0.107,0.6951,0.356,0.443,,,
word,1.6,1.6,1.6,0.1854,0.3488,0.107,0.6951,,,0.1131,,
word,1.6,100.0%,1.0,0.1854,0.3488,0.107,0.6951,,,0.1131,,
iou,1.6,1.2,1.2,0.1837,0.353,0.1058,0.6946,,,0.1443,0.0623,25.52
iou_word_sep,1.6,1.2,1.2,0.1837,0.353,0.1058,0.6946,,,0.1443,0.0623,
window,1.6,1.2,1.2,0.1837,0.353,0.1058,0.6946,0.3256,0.4362,,,
word,1.6,1.2,1.2,0.1837,0.353,0.1058,0.6946,,,0.1443,,
iou,1.6,0.95,0.95,0.182,0.3578,0.1047,0.6936,,,0.1384,0.0731,31.51
iou_word_sep,1.6,0.95,0.95,0.182,0.3578,0.1047,0.6936,,,0.1384,0.0707,
window,1.6,0.95,0.95,0.182,0.3578,0.1047,0.6936,0.3516,0.458,,,
word,1.6,0.95,0.95,0.182,0.3578,0.1047,0.6936,,,0.1384,,
iou,1.6,1.1,1.1,0.1814,0.3552,0.1042,0.698,,,0.1525,0.0678,28.18
iou_word_sep,1.6,1.1,1.1,0.1814,0.3552,0.1042,0.698,,,0.1525,0.0714,
window,1.6,1.1,1.1,0.1814,0.3552,0.1042,0.698,0.3193,0.442,,,
word,1.6,1.1,1.1,0.1814,0.3552,0.1042,0.698,,,0.1525,,
iou,1.7,1.45,1.45,0.2081,0.3692,0.1214,0.7261,,,0.1566,0.0749,24.72
iou_word_sep,1.7,1.45,1.45,0.2081,0.3692,0.1214,0.7261,,,0.1566,0.0726,
window,1.7,1.45,1.45,0.2081,0.3692,0.1214,0.7261,0.3319,0.4128,,,
word,1.7,1.45,1.45,0.2081,0.3692,0.1214,0.7261,,,0.1566,,
iou,1.7,1.65,1.65,0.2042,0.3595,0.1189,0.7227,,,0.1678,0.0732,20.22
iou_word_sep,1.7,1.65,1.65,0.2042,0.3595,0.1189,0.7227,,,0.1678,0.0744,
window,1.7,1.65,1.65,0.2042,0.3595,0.1189,0.7227,0.3031,0.4,,,
word,1.7,1.65,1.65,0.2042,0.3595,0.1189,0.7227,,,0.1678,,
iou,1.7,70.0%,0.7,0.2028,0.358,0.1177,0.7342,,,0.1509,0.0778,29.55
iou_word_sep,1.7,70.0%,0.7,0.2028,0.358,0.1177,0.7342,,,0.1509,0.0722,
window,1.7,70.0%,0.7,0.2028,0.358,0.1177,0.7342,0.344,0.4392,,,
word,1.7,70.0%,0.7,0.2028,0.358,0.1177,0.7342,,,0.1509,,
iou,1.7,1.5,1.5,0.2027,0.3668,0.1184,0.7021,,,0.1583,0.0768,23.44
iou_word_sep,1.7,1.5,1.5,0.2027,0.3668,0.1184,0.7021,,,0.1583,0.0768,
window,1.7,1.5,1.5,0.2027,0.3668,0.1184,0.7021,0.3164,0.4129,,,
word,1.7,1.5,1.5,0.2027,0.3668,0.1184,0.7021,,,0.1583,,
iou,1.7,1.4,1.4,0.1994,0.3598,0.116,0.7071,,,0.152,0.0696,23.64
iou_word_sep,1.7,1.4,1.4,0.1994,0.3598,0.116,0.7071,,,0.152,0.0717,
window,1.7,1.4,1.4,0.1994,0.3598,0.116,0.7071,0.2725,0.3786,,,
word,1.7,1.4,1.4,0.1994,0.3598,0.116,0.7071,,,0.152,,
iou,1.7,0.9,0.9,0.1989,0.3585,0.1157,0.7068,,,0.1593,0.0695,30.81
iou,1.7,1.05,1.05,0.1989,0.3613,0.1155,0.7148,,,0.1613,0.0748,32.17
iou_word_sep,1.7,0.9,0.9,0.1989,0.3585,0.1157,0.7068,,,0.1593,0.0635,
iou_word_sep,1.7,1.05,1.05,0.1989,0.3613,0.1155,0.7148,,,0.1613,0.0756,
window,1.7,0.9,0.9,0.1989,0.3585,0.1157,0.7068,0.3332,0.4171,,,
window,1.7,1.05,1.05,0.1989,0.3613,0.1155,0.7148,0.331,0.4367,,,
word,1.7,0.9,0.9,0.1989,0.3585,0.1157,0.7068,,,0.1593,,
word,1.7,1.05,1.05,0.1989,0.3613,0.1155,0.7148,,,0.1613,,
iou,1.7,1.35,1.35,0.1982,0.3621,0.1151,0.7122,,,0.1705,0.0874,29.17
iou_word_sep,1.7,1.35,1.35,0.1982,0.3621,0.1151,0.7122,,,0.1705,0.0874,
window,1.7,1.35,1.35,0.1982,0.3621,0.1151,0.7122,0.3524,0.4425,,,
word,1.7,1.35,1.35,0.1982,0.3621,0.1151,0.7122,,,0.1705,,
iou,1.7,1.7,1.7,0.1977,0.3576,0.1146,0.7179,,,0.1196,0.0767,23.46
iou,1.7,100.0%,1.0,0.1977,0.3576,0.1146,0.7179,,,0.1196,0.0767,23.46
iou_word_sep,1.7,1.7,1.7,0.1977,0.3576,0.1146,0.7179,,,0.1196,0.0767,
iou_word_sep,1.7,100.0%,1.0,0.1977,0.3576,0.1146,0.7179,,,0.1196,0.0767,
window,1.7,1.7,1.7,0.1977,0.3576,0.1146,0.7179,0.3317,0.4323,,,
window,1.7,100.0%,1.0,0.1977,0.3576,0.1146,0.7179,0.3317,0.4323,,,
word,1.7,1.7,1.7,0.1977,0.3576,0.1146,0.7179,,,0.1196,,
word,1.7,100.0%,1.0,0.1977,0.3576,0.1146,0.7179,,,0.1196,,
iou,1.7,1.15,1.15,0.1974,0.353,0.1146,0.7128,,,0.1531,0.072,29.3
iou_word_sep,1.7,1.15,1.15,0.1974,0.353,0.1146,0.7128,,,0.1531,0.0683,
window,1.7,1.15,1.15,0.1974,0.353,0.1146,0.7128,0.3254,0.4324,,,
word,1.7,1.15,1.15,0.1974,0.353,0.1146,0.7128,,,0.1531,,
iou,1.7,1.25,1.25,0.1971,0.3573,0.1146,0.7029,,,0.1626,0.0709,26.72
iou_word_sep,1.7,1.25,1.25,0.1971,0.3573,0.1146,0.7029,,,0.1626,0.0739,
window,1.7,1.25,1.25,0.1971,0.3573,0.1146,0.7029,0.3227,0.4,,,
word,1.7,1.25,1.25,0.1971,0.3573,0.1146,0.7029,,,0.1626,,
iou,1.7,1.55,1.55,0.197,0.3598,0.1145,0.7054,,,0.1643,0.0638,21.65
iou_word_sep,1.7,1.55,1.55,0.197,0.3598,0.1145,0.7054,,,0.1643,0.0615,
window,1.7,1.55,1.55,0.197,0.3598,0.1145,0.7054,0.3227,0.4217,,,
word,1.7,1.55,1.55,0.197,0.3598,0.1145,0.7054,,,0.1643,,
iou,1.7,1.3,1.3,0.1965,0.3533,0.1142,0.7019,,,0.1486,0.0651,25.21
iou_word_sep,1.7,1.3,1.3,0.1965,0.3533,0.1142,0.7019,,,0.1486,0.0692,
window,1.7,1.3,1.3,0.1965,0.3533,0.1142,0.7019,0.3077,0.4047,,,
word,1.7,1.3,1.3,0.1965,0.3533,0.1142,0.7019,,,0.1486,,
iou,1.7,1.2,1.2,0.1963,0.3561,0.114,0.7077,,,0.1487,0.0734,27.97
iou_word_sep,1.7,1.2,1.2,0.1963,0.3561,0.114,0.7077,,,0.1487,0.0687,
window,1.7,1.2,1.2,0.1963,0.3561,0.114,0.7077,0.3143,0.4224,,,
word,1.7,1.2,1.2,0.1963,0.3561,0.114,0.7077,,,0.1487,,
iou,1.7,0.85,0.85,0.1958,0.3579,0.1135,0.7102,,,0.1476,0.0763,32.1
iou,1.7,50.0%,0.5,0.1958,0.3579,0.1135,0.7102,,,0.1476,0.0763,32.1
iou_word_sep,1.7,0.85,0.85,0.1958,0.3579,0.1135,0.7102,,,0.1476,0.0763,
iou_word_sep,1.7,50.0%,0.5,0.1958,0.3579,0.1135,0.7102,,,0.1476,0.0763,
window,1.7,0.85,0.85,0.1958,0.3579,0.1135,0.7102,0.3276,0.439,,,
window,1.7,50.0%,0.5,0.1958,0.3579,0.1135,0.7102,0.3276,0.439,,,
word,1.7,0.85,0.85,0.1958,0.3579,0.1135,0.7102,,,0.1476,,
word,1.7,50.0%,0.5,0.1958,0.3579,0.1135,0.7102,,,0.1476,,
iou,1.7,40.0%,0.4,0.1956,0.3553,0.1137,0.701,,,0.1658,0.0674,33.76
iou_word_sep,1.7,40.0%,0.4,0.1956,0.3553,0.1137,0.701,,,0.1658,0.0681,
window,1.7,40.0%,0.4,0.1956,0.3553,0.1137,0.701,0.3281,0.4195,,,
word,1.7,40.0%,0.4,0.1956,0.3553,0.1137,0.701,,,0.1658,,
iou,1.7,1.0,1.0,0.1953,0.3621,0.1134,0.7024,,,0.1543,0.0719,31.69
iou_word_sep,1.7,1.0,1.0,0.1953,0.3621,0.1134,0.7024,,,0.1543,0.0663,
window,1.7,1.0,1.0,0.1953,0.3621,0.1134,0.7024,0.3147,0.4026,,,
word,1.7,1.0,1.0,0.1953,0.3621,0.1134,0.7024,,,0.1543,,
iou,1.7,80.0%,0.8,0.1939,0.3555,0.1129,0.6863,,,0.1556,0.0714,25.31
iou_word_sep,1.7,80.0%,0.8,0.1939,0.3555,0.1129,0.6863,,,0.1556,0.0735,
window,1.7,80.0%,0.8,0.1939,0.3555,0.1129,0.6863,0.33,0.4,,,
word,1.7,80.0%,0.8,0.1939,0.3555,0.1129,0.6863,,,0.1556,,
iou,1.7,10.0%,0.1,0.1937,0.3531,0.1124,0.6975,,,0.1679,0.0543,57.44
iou_word_sep,1.7,10.0%,0.1,0.1937,0.3531,0.1124,0.6975,,,0.1679,0.0598,
window,1.7,10.0%,0.1,0.1937,0.3531,0.1124,0.6975,0.3314,0.4274,,,
word,1.7,10.0%,0.1,0.1937,0.3531,0.1124,0.6975,,,0.1679,,
iou,1.7,20.0%,0.2,0.1933,0.3532,0.1122,0.6971,,,0.1636,0.0662,44.06
iou_word_sep,1.7,20.0%,0.2,0.1933,0.3532,0.1122,0.6971,,,0.1636,0.0692,
window,1.7,20.0%,0.2,0.1933,0.3532,0.1122,0.6971,0.3331,0.4265,,,
word,1.7,20.0%,0.2,0.1933,0.3532,0.1122,0.6971,,,0.1636,,
iou,1.7,60.0%,0.6,0.1916,0.3601,0.1112,0.6887,,,0.1531,0.0814,32.81
iou_word_sep,1.7,60.0%,0.6,0.1916,0.3601,0.1112,0.6887,,,0.1531,0.0806,
window,1.7,60.0%,0.6,0.1916,0.3601,0.1112,0.6887,0.3402,0.4274,,,
word,1.7,60.0%,0.6,0.1916,0.3601,0.1112,0.6887,,,0.1531,,
iou,1.7,30.0%,0.3,0.1908,0.3548,0.1108,0.6845,,,0.1735,0.0642,35.64
iou_word_sep,1.7,30.0%,0.3,0.1908,0.3548,0.1108,0.6845,,,0.1735,0.0692,
window,1.7,30.0%,0.3,0.1908,0.3548,0.1108,0.6845,0.3416,0.4323,,,
word,1.7,30.0%,0.3,0.1908,0.3548,0.1108,0.6845,,,0.1735,,
iou,1.7,0.95,0.95,0.1896,0.3562,0.1099,0.6922,,,0.1431,0.0723,30.9
iou_word_sep,1.7,0.95,0.95,0.1896,0.3562,0.1099,0.6922,,,0.1431,0.0685,
window,1.7,0.95,0.95,0.1896,0.3562,0.1099,0.6922,0.3354,0.4473,,,
word,1.7,0.95,0.95,0.1896,0.3562,0.1099,0.6922,,,0.1431,,
iou,1.7,90.0%,0.9,0.1885,0.3518,0.1095,0.6779,,,0.1443,0.0686,20.35
iou_word_sep,1.7,90.0%,0.9,0.1885,0.3518,0.1095,0.6779,,,0.1443,0.0661,
window,1.7,90.0%,0.9,0.1885,0.3518,0.1095,0.6779,0.291,0.3967,,,
word,1.7,90.0%,0.9,0.1885,0.3518,0.1095,0.6779,,,0.1443,,
iou,1.7,1.6,1.6,0.1876,0.3466,0.1087,0.6844,,,0.164,0.0751,20.48
iou_word_sep,1.7,1.6,1.6,0.1876,0.3466,0.1087,0.6844,,,0.164,0.0738,
window,1.7,1.6,1.6,0.1876,0.3466,0.1087,0.6844,0.3305,0.4267,,,
word,1.7,1.6,1.6,0.1876,0.3466,0.1087,0.6844,,,0.164,,
iou,1.7,1.1,1.1,0.1805,0.3471,0.1043,0.6715,,,0.152,0.0688,28.59
iou_word_sep,1.7,1.1,1.1,0.1805,0.3471,0.1043,0.6715,,,0.152,0.0697,
window,1.7,1.1,1.1,0.1805,0.3471,0.1043,0.6715,0.3223,0.4455,,,
word,1.7,1.1,1.1,0.1805,0.3471,0.1043,0.6715,,,0.152,,
iou,1.8,1.75,1.75,0.2117,0.3746,0.1243,0.713,,,0.1784,0.0811,21.43
iou_word_sep,1.8,1.75,1.75,0.2117,0.3746,0.1243,0.713,,,0.1784,0.0797,
window,1.8,1.75,1.75,0.2117,0.3746,0.1243,0.713,0.306,0.3941,,,
word,1.8,1.75,1.75,0.2117,0.3746,0.1243,0.713,,,0.1784,,
iou,1.8,1.45,1.45,0.2111,0.3695,0.124,0.7097,,,0.1598,0.0759,25.64
iou_word_sep,1.8,1.45,1.45,0.2111,0.3695,0.124,0.7097,,,0.1598,0.0771,
window,1.8,1.45,1.45,0.2111,0.3695,0.124,0.7097,0.327,0.4161,,,
word,1.8,1.45,1.45,0.2111,0.3695,0.124,0.7097,,,0.1598,,
iou,1.8,1.25,1.25,0.2099,0.3599,0.1229,0.7183,,,0.1633,0.0708,27.05
iou_word_sep,1.8,1.25,1.25,0.2099,0.3599,0.1229,0.7183,,,0.1633,0.0728,
window,1.8,1.25,1.25,0.2099,0.3599,0.1229,0.7183,0.2984,0.3772,,,
word,1.8,1.25,1.25,0.2099,0.3599,0.1229,0.7183,,,0.1633,,
iou,1.8,1.65,1.65,0.2098,0.3585,0.1226,0.7257,,,0.16,0.0794,24.2
iou_word_sep,1.8,1.65,1.65,0.2098,0.3585,0.1226,0.7257,,,0.16,0.0818,
window,1.8,1.65,1.65,0.2098,0.3585,0.1226,0.7257,0.3179,0.4173,,,
word,1.8,1.65,1.65,0.2098,0.3585,0.1226,0.7257,,,0.16,,
iou,1.8,1.2,1.2,0.209,0.3679,0.1223,0.72,,,0.1605,0.0716,28.75
iou_word_sep,1.8,1.2,1.2,0.209,0.3679,0.1223,0.72,,,0.1605,0.0688,
window,1.8,1.2,1.2,0.209,0.3679,0.1223,0.72,0.3209,0.4269,,,
word,1.8,1.2,1.2,0.209,0.3679,0.1223,0.72,,,0.1605,,
iou,1.8,1.4,1.4,0.2087,0.3655,0.1225,0.705,,,0.1642,0.0693,24.98
iou_word_sep,1.8,1.4,1.4,0.2087,0.3655,0.1225,0.705,,,0.1642,0.0714,
window,1.8,1.4,1.4,0.2087,0.3655,0.1225,0.705,0.2933,0.3741,,,
word,1.8,1.4,1.4,0.2087,0.3655,0.1225,0.705,,,0.1642,,
iou,1.8,1.7,1.7,0.2083,0.367,0.1214,0.7325,,,0.158,0.0674,20.92
iou,1.8,90.0%,0.9,0.2083,0.3689,0.122,0.7099,,,0.152,0.0595,19.59
iou_word_sep,1.8,1.7,1.7,0.2083,0.367,0.1214,0.7325,,,0.158,0.0712,
iou_word_sep,1.8,90.0%,0.9,0.2083,0.3689,0.122,0.7099,,,0.152,0.0608,
window,1.8,1.7,1.7,0.2083,0.367,0.1214,0.7325,0.2952,0.3983,,,
window,1.8,90.0%,0.9,0.2083,0.3689,0.122,0.7099,0.2702,0.373,,,
word,1.8,1.7,1.7,0.2083,0.367,0.1214,0.7325,,,0.158,,
word,1.8,90.0%,0.9,0.2083,0.3689,0.122,0.7099,,,0.152,,
iou,1.8,1.15,1.15,0.208,0.3654,0.1217,0.7163,,,0.1653,0.0845,33.07
iou_word_sep,1.8,1.15,1.15,0.208,0.3654,0.1217,0.7163,,,0.1653,0.0845,
window,1.8,1.15,1.15,0.208,0.3654,0.1217,0.7163,0.3373,0.4382,,,
word,1.8,1.15,1.15,0.208,0.3654,0.1217,0.7163,,,0.1653,,
iou,1.8,70.0%,0.7,0.2062,0.3582,0.1205,0.7127,,,0.1577,0.0641,27.54
iou_word_sep,1.8,70.0%,0.7,0.2062,0.3582,0.1205,0.7127,,,0.1577,0.0651,
window,1.8,70.0%,0.7,0.2062,0.3582,0.1205,0.7127,0.293,0.3938,,,
word,1.8,70.0%,0.7,0.2062,0.3582,0.1205,0.7127,,,0.1577,,
iou,1.8,1.5,1.5,0.2061,0.368,0.1213,0.6845,,,0.1675,0.071,23.31
iou_word_sep,1.8,1.5,1.5,0.2061,0.368,0.1213,0.6845,,,0.1675,0.0756,
window,1.8,1.5,1.5,0.2061,0.368,0.1213,0.6845,0.3052,0.4015,,,
word,1.8,1.5,1.5,0.2061,0.368,0.1213,0.6845,,,0.1675,,
iou,1.8,0.9,0.9,0.2042,0.3692,0.1198,0.6901,,,0.152,0.0764,30.3
iou,1.8,50.0%,0.5,0.2042,0.3692,0.1198,0.6901,,,0.152,0.0764,30.3
iou_word_sep,1.8,0.9,0.9,0.2042,0.3692,0.1198,0.6901,,,0.152,0.0703,
iou_word_sep,1.8,50.0%,0.5,0.2042,0.3692,0.1198,0.6901,,,0.152,0.0703,
window,1.8,0.9,0.9,0.2042,0.3692,0.1198,0.6901,0.3126,0.4036,,,
window,1.8,50.0%,0.5,0.2042,0.3692,0.1198,0.6901,0.3126,0.4036,,,
word,1.8,0.9,0.9,0.2042,0.3692,0.1198,0.6901,,,0.152,,
word,1.8,50.0%,0.5,0.2042,0.3692,0.1198,0.6901,,,0.152,,
iou,1.8,1.35,1.35,0.204,0.3676,0.1192,0.7057,,,0.1546,0.0815,28.81
iou_word_sep,1.8,1.35,1.35,0.204,0.3676,0.1192,0.7057,,,0.1546,0.0846,
window,1.8,1.35,1.35,0.204,0.3676,0.1192,0.7057,0.3285,0.4271,,,
word,1.8,1.35,1.35,0.204,0.3676,0.1192,0.7057,,,0.1546,,
iou,1.8,1.05,1.05,0.2038,0.3636,0.1192,0.7017,,,0.153,0.0748,31.05
iou_word_sep,1.8,1.05,1.05,0.2038,0.3636,0.1192,0.7017,,,0.153,0.0688,
window,1.8,1.05,1.05,0.2038,0.3636,0.1192,0.7017,0.3155,0.4304,,,
word,1.8,1.05,1.05,0.2038,0.3636,0.1192,0.7017,,,0.153,,
iou,1.8,30.0%,0.3,0.2037,0.3658,0.1193,0.6957,,,0.1826,0.0706,36.32
iou_word_sep,1.8,30.0%,0.3,0.2037,0.3658,0.1193,0.6957,,,0.1826,0.0693,
window,1.8,30.0%,0.3,0.2037,0.3658,0.1193,0.6957,0.3216,0.4185,,,
word,1.8,30.0%,0.3,0.2037,0.3658,0.1193,0.6957,,,0.1826,,
iou,1.8,80.0%,0.8,0.2035,0.3644,0.1193,0.6925,,,0.1485,0.0624,22.48
iou_word_sep,1.8,80.0%,0.8,0.2035,0.3644,0.1193,0.6925,,,0.1485,0.0646,
window,1.8,80.0%,0.8,0.2035,0.3644,0.1193,0.6925,0.2831,0.3646,,,
word,1.8,80.0%,0.8,0.2035,0.3644,0.1193,0.6925,,,0.1485,,
iou,1.8,1.0,1.0,0.2033,0.3533,0.1187,0.708,,,0.1674,0.0727,32.61
iou_word_sep,1.8,1.0,1.0,0.2033,0.3533,0.1187,0.708,,,0.1674,0.0702,
window,1.8,1.0,1.0,0.2033,0.3533,0.1187,0.708,0.3211,0.4099,,,
word,1.8,1.0,1.0,0.2033,0.3533,0.1187,0.708,,,0.1674,,
iou,1.8,10.0%,0.1,0.2025,0.3605,0.1185,0.6952,,,0.1684,0.0547,54.19
iou_word_sep,1.8,10.0%,0.1,0.2025,0.3605,0.1185,0.6952,,,0.1684,0.0594,
window,1.8,10.0%,0.1,0.2025,0.3605,0.1185,0.6952,0.3129,0.4117,,,
word,1.8,10.0%,0.1,0.2025,0.3605,0.1185,0.6952,,,0.1684,,
iou,1.8,1.3,1.3,0.202,0.3588,0.1179,0.7041,,,0.1527,0.0599,23.51
iou_word_sep,1.8,1.3,1.3,0.202,0.3588,0.1179,0.7041,,,0.1527,0.065,
window,1.8,1.3,1.3,0.202,0.3588,0.1179,0.7041,0.2748,0.3811,,,
word,1.8,1.3,1.3,0.202,0.3588,0.1179,0.7041,,,0.1527,,
iou,1.8,1.8,1.8,0.2019,0.3547,0.1177,0.7079,,,0.106,0.0671,19.59
iou,1.8,100.0%,1.0,0.2019,0.3547,0.1177,0.7079,,,0.106,0.0671,19.59
iou_word_sep,1.8,1.8,1.8,0.2019,0.3547,0.1177,0.7079,,,0.106,0.0658,
iou_word_sep,1.8,100.0%,1.0,0.2019,0.3547,0.1177,0.7079,,,0.106,0.0658,
window,1.8,1.8,1.8,0.2019,0.3547,0.1177,0.7079,0.2917,0.3901,,,
window,1.8,100.0%,1.0,0.2019,0.3547,0.1177,0.7079,0.2917,0.3901,,,
word,1.8,1.8,1.8,0.2019,0.3547,0.1177,0.7079,,,0.106,,
word,1.8,100.0%,1.0,0.2019,0.3547,0.1177,0.7079,,,0.106,,
iou,1.8,0.95,0.95,0.2017,0.3624,0.1178,0.7003,,,0.1545,0.0647,29.36
iou_word_sep,1.8,0.95,0.95,0.2017,0.3624,0.1178,0.7003,,,0.1545,0.0647,
window,1.8,0.95,0.95,0.2017,0.3624,0.1178,0.7003,0.3181,0.4135,,,
word,1.8,0.95,0.95,0.2017,0.3624,0.1178,0.7003,,,0.1545,,
iou,1.8,40.0%,0.4,0.2013,0.3591,0.1178,0.6892,,,0.1793,0.0664,33.32
iou_word_sep,1.8,40.0%,0.4,0.2013,0.3591,0.1178,0.6892,,,0.1793,0.0694,
window,1.8,40.0%,0.4,0.2013,0.3591,0.1178,0.6892,0.3151,0.4073,,,
word,1.8,40.0%,0.4,0.2013,0.3591,0.1178,0.6892,,,0.1793,,
iou,1.8,20.0%,0.2,0.2012,0.3574,0.1177,0.6938,,,0.1685,0.0657,42.62
iou_word_sep,1.8,20.0%,0.2,0.2012,0.3574,0.1177,0.6938,,,0.1685,0.0652,
window,1.8,20.0%,0.2,0.2012,0.3574,0.1177,0.6938,0.3122,0.4105,,,
word,1.8,20.0%,0.2,0.2012,0.3574,0.1177,0.6938,,,0.1685,,
iou,1.8,1.6,1.6,0.2009,0.356,0.1174,0.6955,,,0.1844,0.0757,22.39
iou_word_sep,1.8,1.6,1.6,0.2009,0.356,0.1174,0.6955,,,0.1844,0.0757,
window,1.8,1.6,1.6,0.2009,0.356,0.1174,0.6955,0.3222,0.4257,,,
word,1.8,1.6,1.6,0.2009,0.356,0.1174,0.6955,,,0.1844,,
iou,1.8,1.1,1.1,0.1959,0.353,0.1137,0.7068,,,0.1547,0.0717,29.54
iou_word_sep,1.8,1.1,1.1,0.1959,0.353,0.1137,0.7068,,,0.1547,0.0683,
window,1.8,1.1,1.1,0.1959,0.353,0.1137,0.7068,0.299,0.4119,,,
word,1.8,1.1,1.1,0.1959,0.353,0.1137,0.7068,,,0.1547,,
iou,1.8,60.0%,0.6,0.1949,0.3584,0.1137,0.6828,,,0.1634,0.0748,30.47
iou_word_sep,1.8,60.0%,0.6,0.1949,0.3584,0.1137,0.6828,,,0.1634,0.0757,
window,1.8,60.0%,0.6,0.1949,0.3584,0.1137,0.6828,0.3342,0.4334,,,
word,1.8,60.0%,0.6,0.1949,0.3584,0.1137,0.6828,,,0.1634,,
iou,1.8,1.55,1.55,0.1928,0.3529,0.1126,0.6694,,,0.172,0.0741,23.46
iou_word_sep,1.8,1.55,1.55,0.1928,0.3529,0.1126,0.6694,,,0.172,0.0729,
window,1.8,1.55,1.55,0.1928,0.3529,0.1126,0.6694,0.3266,0.4286,,,
word,1.8,1.55,1.55,0.1928,0.3529,0.1126,0.6694,,,0.172,,
iou,1.9,1.25,1.25,0.2236,0.3708,0.1321,0.7265,,,0.1634,0.0682,26.77
iou_word_sep,1.9,1.25,1.25,0.2236,0.3708,0.1321,0.7265,,,0.1634,0.0712,
window,1.9,1.25,1.25,0.2236,0.3708,0.1321,0.7265,0.2896,0.3736,,,
word,1.9,1.25,1.25,0.2236,0.3708,0.1321,0.7265,,,0.1634,,
iou,1.9,40.0%,0.4,0.2179,0.3638,0.1286,0.7123,,,0.1827,0.0681,32.75
iou_word_sep,1.9,40.0%,0.4,0.2179,0.3638,0.1286,0.7123,,,0.1827,0.0689,
window,1.9,40.0%,0.4,0.2179,0.3638,0.1286,0.7123,0.2896,0.3776,,,
word,1.9,40.0%,0.4,0.2179,0.3638,0.1286,0.7123,,,0.1827,,
iou,1.9,1.0,1.0,0.2177,0.3659,0.1283,0.7181,,,0.162,0.0605,27.88
iou_word_sep,1.9,1.0,1.0,0.2177,0.3659,0.1283,0.7181,,,0.162,0.0595,
window,1.9,1.0,1.0,0.2177,0.3659,0.1283,0.7181,0.2954,0.3926,,,
word,1.9,1.0,1.0,0.2177,0.3659,0.1283,0.7181,,,0.162,,
iou,1.9,80.0%,0.8,0.217,0.3559,0.1284,0.7015,,,0.1689,0.0752,25.83
iou_word_sep,1.9,80.0%,0.8,0.217,0.3559,0.1284,0.7015,,,0.1689,0.0798,
window,1.9,80.0%,0.8,0.217,0.3559,0.1284,0.7015,0.3044,0.3841,,,
word,1.9,80.0%,0.8,0.217,0.3559,0.1284,0.7015,,,0.1689,,
iou,1.9,1.6,1.6,0.2142,0.3726,0.1263,0.7051,,,0.1786,0.0737,22.75
iou_word_sep,1.9,1.6,1.6,0.2142,0.3726,0.1263,0.7051,,,0.1786,0.0787,
window,1.9,1.6,1.6,0.2142,0.3726,0.1263,0.7051,0.3101,0.4183,,,
word,1.9,1.6,1.6,0.2142,0.3726,0.1263,0.7051,,,0.1786,,
iou,1.9,90.0%,0.9,0.2141,0.3646,0.1261,0.7074,,,0.18,0.0744,23.22
iou_word_sep,1.9,90.0%,0.9,0.2141,0.3646,0.1261,0.7074,,,0.18,0.0757,
window,1.9,90.0%,0.9,0.2141,0.3646,0.1261,0.7074,0.3124,0.4137,,,
word,1.9,90.0%,0.9,0.2141,0.3646,0.1261,0.7074,,,0.18,,
iou,1.9,1.65,1.65,0.2139,0.3568,0.1258,0.7131,,,0.1758,0.0766,22.6
iou_word_sep,1.9,1.65,1.65,0.2139,0.3568,0.1258,0.7131,,,0.1758,0.0816,
window,1.9,1.65,1.65,0.2139,0.3568,0.1258,0.7131,0.2773,0.3755,,,
word,1.9,1.65,1.65,0.2139,0.3568,0.1258,0.7131,,,0.1758,,
iou,1.9,0.95,0.95,0.2128,0.3696,0.1255,0.6984,,,0.1602,0.0622,27.12
iou,1.9,50.0%,0.5,0.2128,0.3696,0.1255,0.6984,,,0.1602,0.0622,27.12
iou_word_sep,1.9,0.95,0.95,0.2128,0.3696,0.1255,0.6984,,,0.1602,0.0594,
iou_word_sep,1.9,50.0%,0.5,0.2128,0.3696,0.1255,0.6984,,,0.1602,0.0594,
window,1.9,0.95,0.95,0.2128,0.3696,0.1255,0.6984,0.2809,0.3932,,,
window,1.9,50.0%,0.5,0.2128,0.3696,0.1255,0.6984,0.2809,0.3932,,,
word,1.9,0.95,0.95,0.2128,0.3696,0.1255,0.6984,,,0.1602,,
word,1.9,50.0%,0.5,0.2128,0.3696,0.1255,0.6984,,,0.1602,,
iou,1.9,1.7,1.7,0.2118,0.3701,0.1246,0.7081,,,0.1661,0.0778,23.47
iou_word_sep,1.9,1.7,1.7,0.2118,0.3701,0.1246,0.7081,,,0.1661,0.0804,
window,1.9,1.7,1.7,0.2118,0.3701,0.1246,0.7081,0.3268,0.4327,,,
word,1.9,1.7,1.7,0.2118,0.3701,0.1246,0.7081,,,0.1661,,
iou,1.9,1.5,1.5,0.2117,0.371,0.1256,0.6723,,,0.1739,0.0618,23.04
