Evaluation_Method,Window_Size_seconds,Stride,Stride_Numeric,Binary_F1_Score,Binary_Accuracy,Binary_Precision,Binary_Recall,Multiclass_F1_Score,Multiclass_Accuracy,Word_Level_F1_Score,IoU_F1_Score,Mean_IoU_Percentage
window,0.5,10.0%,0.1,0.0751,0.1684,0.0392,0.8991,0.4188,0.487,,,
word,0.5,10.0%,0.1,0.0751,0.1684,0.0392,0.8991,,,0.0607,,
iou,0.5,20.0%,0.2,0.075,0.1683,0.0391,0.8977,,,0.0629,0.0285,49.73
iou_word_sep,0.5,20.0%,0.2,0.075,0.1683,0.0391,0.8977,,,0.0629,0.0304,
window,0.5,20.0%,0.2,0.075,0.1683,0.0391,0.8977,0.4185,0.4921,,,
word,0.5,20.0%,0.2,0.075,0.1683,0.0391,0.8977,,,0.0629,,
iou,0.5,0.35,0.35,0.0748,0.1712,0.039,0.8985,,,0.0717,0.033,32.22
iou,0.5,70.0%,0.7,0.0748,0.1712,0.039,0.8985,,,0.0717,0.033,32.22
iou_word_sep,0.5,0.35,0.35,0.0748,0.1712,0.039,0.8985,,,0.0717,0.033,
iou_word_sep,0.5,70.0%,0.7,0.0748,0.1712,0.039,0.8985,,,0.0717,0.033,
window,0.5,0.35,0.35,0.0748,0.1712,0.039,0.8985,0.436,0.5032,,,
window,0.5,70.0%,0.7,0.0748,0.1712,0.039,0.8985,0.436,0.5032,,,
word,0.5,0.35,0.35,0.0748,0.1712,0.039,0.8985,,,0.0717,,
word,0.5,70.0%,0.7,0.0748,0.1712,0.039,0.8985,,,0.0717,,
iou,0.5,0.3,0.3,0.0744,0.1688,0.0388,0.8964,,,0.0688,0.0293,32.22
iou,0.5,60.0%,0.6,0.0744,0.1688,0.0388,0.8964,,,0.0688,0.0293,32.22
iou_word_sep,0.5,0.3,0.3,0.0744,0.1688,0.0388,0.8964,,,0.0688,0.0284,
iou_word_sep,0.5,60.0%,0.6,0.0744,0.1688,0.0388,0.8964,,,0.0688,0.0284,
window,0.5,0.3,0.3,0.0744,0.1688,0.0388,0.8964,0.4123,0.4917,,,
window,0.5,60.0%,0.6,0.0744,0.1688,0.0388,0.8964,0.4123,0.4917,,,
word,0.5,0.3,0.3,0.0744,0.1688,0.0388,0.8964,,,0.0688,,
word,0.5,60.0%,0.6,0.0744,0.1688,0.0388,0.8964,,,0.0688,,
iou,0.6,0.4,0.4,0.0919,0.2047,0.0485,0.8899,,,0.0817,0.0448,34.98
iou_word_sep,0.6,0.4,0.4,0.0919,0.2047,0.0485,0.8899,,,0.0817,0.0455,
