eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou,window_numeric,stride_numeric,stride_percentage
eval_by_0.05,window_1.6s,stride_1.6s,True,151.41133856773376,4,0.1794,0.3311,0.0238,1.6,1.6,100.0
eval_by_0.05,window_1.7s,stride_0.95s,True,298.4116108417511,2,0.1795,0.425,0.0263,1.7,0.95,55.88235294117647
eval_by_0.05,window_1.7s,stride_0.85s,True,314.52166390419006,1,0.1798,0.4444,0.026,1.7,0.85,50.0
eval_by_0.05,window_1.7s,stride_0.9s,True,307.17548394203186,3,0.1913,0.4571,0.0279,1.7,0.9,52.94117647058824
eval_by_0.05,window_1.7s,stride_1.05s,True,241.7577486038208,4,0.1868,0.4217,0.0265,1.7,1.05,61.76470588235294
eval_by_0.05,window_1.7s,stride_1.15s,True,249.4682376384735,2,0.2019,0.438,0.0269,1.7,1.15,67.6470588235294
eval_by_0.05,window_1.7s,stride_1.1s,True,257.0942454338074,3,0.1908,0.4017,0.0279,1.7,1.1,64.70588235294117
eval_by_0.05,window_1.7s,stride_1.0s,True,266.6564373970032,1,0.1728,0.425,0.0274,1.7,1.0,58.82352941176471
eval_by_0.05,window_1.7s,stride_1.25s,True,231.6711637973785,4,0.1803,0.3846,0.0265,1.7,1.25,73.52941176470588
eval_by_0.05,window_1.7s,stride_1.45s,True,211.75294971466064,4,0.184,0.3385,0.0227,1.7,1.45,85.29411764705883
eval_by_0.05,window_1.7s,stride_1.35s,True,221.1444215774536,2,0.1955,0.3881,0.0261,1.7,1.35,79.41176470588236
eval_by_0.05,window_1.7s,stride_1.2s,True,230.554137468338,1,0.2016,0.425,0.0252,1.7,1.2,70.58823529411765
eval_by_0.05,window_1.7s,stride_1.3s,True,224.80004239082336,3,0.1906,0.3812,0.0241,1.7,1.3,76.47058823529413
eval_by_0.05,window_1.7s,stride_1.65s,True,191.35827732086184,4,0.1793,0.32,0.0222,1.7,1.65,97.05882352941177
eval_by_0.05,window_1.7s,stride_1.55s,True,196.08031392097476,2,0.1715,0.3311,0.0228,1.7,1.55,91.1764705882353
eval_by_0.05,window_1.7s,stride_1.4s,True,204.48007774353027,1,0.1862,0.3672,0.0231,1.7,1.4,82.35294117647058
eval_by_0.05,window_1.7s,stride_1.5s,True,199.1555247306824,3,0.191,0.3812,0.027,1.7,1.5,88.23529411764706
eval_by_0.05,window_1.7s,stride_1.7s,True,179.24441194534302,2,0.1772,0.3087,0.0229,1.7,1.7,100.0
eval_by_0.05,window_1.7s,stride_1.6s,True,186.75406050682068,1,0.1938,0.3565,0.0237,1.7,1.6,94.11764705882354
eval_by_0.05,window_1.8s,stride_0.95s,True,279.2671146392822,3,0.1826,0.4283,0.0238,1.8,0.95,52.77777777777778
eval_by_0.05,window_1.8s,stride_0.9s,True,291.80677604675293,4,0.1902,0.4444,0.0252,1.8,0.9,50.0
eval_by_0.05,window_1.8s,stride_1.05s,True,251.91183233261108,1,0.1962,0.4348,0.0258,1.8,1.05,58.333333333333336
eval_by_0.05,window_1.8s,stride_1.0s,True,261.4683940410614,2,0.1703,0.4151,0.0265,1.8,1.0,55.55555555555556
eval_by_0.05,window_1.8s,stride_1.15s,True,228.5869197845459,3,0.1816,0.4084,0.0229,1.8,1.15,63.888888888888886
