eval_type,window_size,stride_name,word_binary_f1,word_multiclass_f1,word_gt_count,word_pred_count,vad_binary_f1,vad_multiclass_f1,vad_combined_iou,vad_duration,f1_difference,f1_percent_change
eval_percent,1.6,stride_50.0%,0.491,0.4032,378,462,0.364,0.307,0.1825,15.520219326019289,-0.127,-25.865580448065174
eval_percent,1.6,stride_60.0%,0.4727,0.3838,378,444,0.356,0.299,0.1803,14.935067415237429,-0.11670000000000003,-24.687962767082723
eval_percent,1.6,stride_70.0%,0.4476,0.3655,378,406,0.353,0.3,0.1591,13.959469318389893,-0.09460000000000002,-21.13494191242181
eval_percent,1.6,stride_80.0%,0.3529,0.2876,378,358,0.326,0.276,0.2122,13.260646104812622,-0.02689999999999998,-7.622555964862561
eval_percent,1.6,stride_90.0%,0.3812,0.3084,378,347,0.35,0.3,0.227,13.016414880752563,-0.031200000000000006,-8.184679958027283
eval_percent,1.7,stride_10.0%,0.6279,0.4755,378,694,0.379,0.296,0.2069,19.475290298461918,-0.2489,-39.64007007485269
eval_percent,1.7,stride_100.0%,0.3087,0.264,378,280,0.329,0.294,0.1619,12.290402889251707,0.02030000000000004,6.575963718820875
eval_percent,1.7,stride_20.0%,0.5869,0.4486,378,580,0.377,0.305,0.2184,17.15218448638916,-0.20989999999999998,-35.76418469926733
eval_percent,1.7,stride_30.0%,0.5462,0.4192,378,523,0.376,0.305,0.177,15.782799243927002,-0.17020000000000002,-31.16074697912853
eval_percent,1.7,stride_40.0%,0.5059,0.3992,378,476,0.366,0.303,0.2452,14.889098405838013,-0.13990000000000002,-27.653686499308165
eval_percent,1.7,stride_50.0%,0.4444,0.3498,378,412,0.353,0.291,0.1393,13.812955379486084,-0.09140000000000004,-20.567056705670574
eval_percent,1.7,stride_60.0%,0.438,0.3554,378,378,0.36,0.302,0.1803,13.250889301300049,-0.07800000000000001,-17.808219178082194
eval_percent,1.7,stride_70.0%,0.3983,0.3305,378,375,0.348,0.294,0.1519,13.401402711868286,-0.05030000000000001,-12.62867185538539
