eval_type,window_size,stride_value,stride_type,stride_label,success,error,duration,worker_id,combined_mean_iou,binary_f1,multiclass_f1
eval_percent,1.1,30.0,percentage,30.0%,True,,299.9560327529907,3,10.63,0.35,0.34
eval_percent,1.1,20.0,percentage,20.0%,True,,439.0496461391449,2,10.47,0.35,0.34
eval_percent,1.1,50.0,percentage,50.0%,True,,183.77964758872986,1,12.33,0.35,0.34
eval_percent,1.1,60.0,percentage,60.0%,True,,158.00227546691895,2,11.16,0.35,0.34
eval_percent,1.1,70.0,percentage,70.0%,True,,133.55168342590332,3,11.5,0.36,0.35
eval_percent,1.1,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,4,,,
eval_percent,1.1,90.0,percentage,90.0%,True,,106.19889068603516,1,14.71,0.37,0.36
eval_percent,1.1,80.0,percentage,80.0%,True,,115.62521362304688,4,12.61,0.37,0.36
eval_by_0.05,1.1,0.65,absolute,0.65s,True,,153.7567446231842,3,11.78,0.36,0.35
eval_by_0.05,1.1,0.55,absolute,0.55s,True,,178.5862591266632,2,12.33,0.35,0.34
eval_by_0.05,1.1,0.75,absolute,0.75s,True,,133.86267566680908,1,13.49,0.36,0.36
eval_by_0.05,1.1,0.6,absolute,0.6s,True,,161.01330614089966,4,11.68,0.36,0.35
eval_by_0.05,1.1,0.85,absolute,0.85s,True,,122.10800766944885,3,13.76,0.36,0.35
eval_by_0.05,1.1,0.7,absolute,0.7s,True,,139.9701385498047,2,12.36,0.36,0.35
eval_by_0.05,1.1,0.8,absolute,0.8s,True,,125.26321792602539,4,12.72,0.37,0.36
eval_by_0.05,1.1,0.95,absolute,0.95s,True,,107.58455538749695,1,11.9,0.37,0.36
eval_by_0.05,1.1,0.9,absolute,0.9s,True,,108.75148344039917,2,12.53,0.36,0.36
eval_by_0.05,1.1,1.05,absolute,1.05s,True,,98.73228311538696,3,14.98,0.37,0.37
eval_by_0.05,1.1,1.1,absolute,1.1s,True,,95.9214437007904,1,14.55,0.36,0.36
eval_by_0.05,1.1,1.0,absolute,1.0s,True,,102.27042937278748,4,15.29,0.37,0.36
eval_percent,1.0,100.0,percentage,100.0%,True,,113.25021123886108,3,14.83,0.36,0.35
eval_percent,1.0,30.0,percentage,30.0%,True,,365.2147648334503,1,10.44,0.36,0.34
eval_percent,1.0,40.0,percentage,40.0%,True,,277.77372694015503,2,11.6,0.36,0.34
eval_percent,1.0,20.0,percentage,20.0%,True,,524.12513256073,4,10.44,0.35,0.34
eval_percent,1.0,60.0,percentage,60.0%,True,,182.83129787445068,4,12.23,0.36,0.35
eval_percent,1.0,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,2,,,
eval_percent,1.0,50.0,percentage,50.0%,True,,237.54723811149597,3,12.05,0.35,0.34
eval_percent,1.0,70.0,percentage,70.0%,True,,151.7978961467743,1,13.63,0.35,0.34
eval_percent,1.0,80.0,percentage,80.0%,True,,134.1708266735077,2,13.91,0.36,0.35
eval_percent,1.0,90.0,percentage,90.0%,True,,122.84712743759155,3,14.12,0.34,0.34
eval_by_0.05,1.0,0.55,absolute,0.55s,True,,192.78803420066833,4,12.85,0.35,0.35
eval_by_0.05,1.0,0.65,absolute,0.65s,True,,171.64351892471313,2,13.22,0.36,0.35
eval_by_0.05,1.0,0.5,absolute,0.5s,True,,208.30110669136047,1,12.05,0.35,0.34
eval_by_0.05,1.0,0.6,absolute,0.6s,True,,182.05573439598083,3,12.23,0.36,0.35
eval_by_0.05,1.0,0.75,absolute,0.75s,True,,141.98339366912842,4,14.25,0.36,0.35
eval_by_0.05,1.0,0.85,absolute,0.85s,True,,134.81550908088684,2,13.7,0.35,0.34
eval_by_0.05,1.0,0.7,absolute,0.7s,True,,151.54134964942932,1,13.63,0.35,0.34
eval_by_0.05,1.0,0.8,absolute,0.8s,True,,137.6878800392151,3,13.91,0.36,0.35
eval_by_0.05,1.0,0.95,absolute,0.95s,True,,112.406911611557,4,12.8,0.37,0.36
eval_by_0.05,1.0,1.0,absolute,1.0s,True,,115.89951777458191,2,14.83,0.36,0.35
eval_by_0.05,1.0,0.9,absolute,0.9s,True,,123.3133819103241,1,14.12,0.34,0.34
eval_percent,0.9,100.0,percentage,100.0%,True,,121.72324800491333,4,16.32,0.35,0.34
eval_percent,0.9,40.0,percentage,40.0%,True,,308.1710059642792,3,11.76,0.35,0.34
eval_percent,0.9,30.0,percentage,30.0%,True,,394.5236916542053,2,11.96,0.36,0.35
eval_percent,0.9,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,3,,,
eval_percent,0.9,20.0,percentage,20.0%,True,,577.435131072998,1,11.38,0.36,0.34
eval_percent,0.9,50.0,percentage,50.0%,True,,238.88934636116028,4,13.8,0.35,0.34
eval_percent,0.9,60.0,percentage,60.0%,True,,196.56805801391602,1,13.46,0.35,0.34
eval_percent,0.9,70.0,percentage,70.0%,True,,165.84093713760376,2,14.67,0.35,0.34
eval_percent,0.9,90.0,percentage,90.0%,True,,137.79721665382385,4,16.97,0.34,0.34
eval_percent,0.9,80.0,percentage,80.0%,True,,148.5328152179718,3,14.1,0.36,0.35
eval_by_0.05,0.9,0.45,absolute,0.45s,True,,231.97009372711182,1,13.8,0.35,0.34
eval_by_0.05,0.9,0.55,absolute,0.55s,True,,190.61520528793335,2,12.63,0.36,0.35
eval_by_0.05,0.9,0.65,absolute,0.65s,True,,169.36719632148743,4,14.67,0.35,0.34
eval_by_0.05,0.9,0.5,absolute,0.5s,True,,209.1565797328949,3,13.13,0.35,0.34
eval_by_0.05,0.9,0.75,absolute,0.75s,True,,145.58021235466003,2,16.36,0.35,0.35
eval_by_0.05,0.9,0.6,absolute,0.6s,True,,173.93475246429443,1,14.46,0.36,0.35
eval_by_0.05,0.9,0.7,absolute,0.7s,True,,150.16840147972107,3,15.4,0.35,0.34
eval_by_0.05,0.9,0.85,absolute,0.85s,True,,125.63053464889526,4,14.87,0.35,0.34
eval_by_0.05,0.9,0.9,absolute,0.9s,True,,122.74501585960388,2,16.32,0.35,0.34
eval_by_0.05,0.9,0.8,absolute,0.8s,True,,132.88083267211914,1,16.14,0.35,0.35
eval_percent,0.8,100.0,percentage,100.0%,True,,135.35093450546265,4,16.37,0.35,0.34
eval_percent,0.8,40.0,percentage,40.0%,True,,339.1348557472229,3,14.06,0.36,0.34
eval_percent,0.8,30.0,percentage,30.0%,True,,440.1551218032837,2,13.57,0.36,0.35
eval_percent,0.8,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,3,,,
eval_percent,0.8,20.0,percentage,20.0%,False,Process timeout (10 minutes),600.0,1,,,
eval_percent,0.8,60.0,percentage,60.0%,True,,224.1986300945282,1,15.1,0.35,0.34
eval_percent,0.8,50.0,percentage,50.0%,True,,262.21305298805237,4,13.73,0.36,0.34
eval_percent,0.8,70.0,percentage,70.0%,True,,187.67360496520996,2,16.29,0.36,0.35
eval_percent,0.8,80.0,percentage,80.0%,True,,162.95214867591858,3,17.74,0.35,0.34
eval_percent,0.8,90.0,percentage,90.0%,True,,149.64545154571533,4,22.01,0.36,0.36
eval_by_0.05,0.8,0.45,absolute,0.45s,True,,233.8806140422821,1,15.06,0.36,0.35
eval_by_0.05,0.8,0.55,absolute,0.55s,True,,196.07847666740417,3,14.84,0.34,0.34
eval_by_0.05,0.8,0.4,absolute,0.4s,True,,260.54072070121765,2,13.73,0.36,0.34
eval_by_0.05,0.8,0.5,absolute,0.5s,True,,208.90252208709717,4,14.02,0.35,0.34
eval_by_0.05,0.8,0.65,absolute,0.65s,True,,160.79588747024536,1,17.02,0.36,0.35
eval_by_0.05,0.8,0.75,absolute,0.75s,True,,145.57435655593872,3,19.08,0.35,0.34
eval_by_0.05,0.8,0.6,absolute,0.6s,True,,173.12022042274475,2,17.32,0.34,0.34
eval_by_0.05,0.8,0.7,absolute,0.7s,True,,150.9853491783142,4,16.65,0.35,0.34
eval_by_0.05,0.8,0.8,absolute,0.8s,True,,132.50030755996704,1,16.37,0.35,0.34
eval_percent,0.7,100.0,percentage,100.0%,True,,159.25696110725403,3,17.61,0.35,0.34
eval_percent,0.7,40.0,percentage,40.0%,True,,395.0891320705414,2,15.32,0.36,0.35
eval_percent,0.7,30.0,percentage,30.0%,True,,511.67379546165466,1,15.12,0.36,0.35
eval_percent,0.7,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,2,,,
eval_percent,0.7,20.0,percentage,20.0%,False,Process timeout (10 minutes),600.0,4,,,
eval_percent,0.7,70.0,percentage,70.0%,True,,228.37655234336853,1,17.14,0.35,0.34
eval_percent,0.7,60.0,percentage,60.0%,True,,257.43368577957153,4,17.13,0.36,0.36
eval_percent,0.7,80.0,percentage,80.0%,True,,197.11285996437073,2,18.92,0.36,0.34
eval_percent,0.7,50.0,percentage,50.0%,True,,292.22120118141174,3,15.11,0.35,0.34
eval_percent,0.7,90.0,percentage,90.0%,True,,168.04645681381226,3,18.84,0.35,0.34
eval_by_0.05,0.7,0.45,absolute,0.45s,True,,243.99021172523499,1,16.95,0.35,0.34
eval_by_0.05,0.7,0.4,absolute,0.4s,True,,270.46716499328613,2,15.71,0.36,0.34
eval_by_0.05,0.7,0.35,absolute,0.35s,True,,296.31350588798523,4,15.11,0.35,0.34
eval_by_0.05,0.7,0.55,absolute,0.55s,True,,195.64030528068542,3,17.57,0.35,0.34
eval_by_0.05,0.7,0.65,absolute,0.65s,True,,170.53332233428955,1,17.7,0.35,0.34
eval_by_0.05,0.7,0.5,absolute,0.5s,True,,211.07454895973206,4,15.14,0.35,0.34
eval_by_0.05,0.7,0.6,absolute,0.6s,True,,177.08584690093994,2,20.6,0.35,0.34
eval_by_0.05,0.7,0.7,absolute,0.7s,True,,146.72215056419373,3,17.61,0.35,0.34
eval_percent,0.6,100.0,percentage,100.0%,True,,159.85793113708496,1,20.6,0.34,0.34
eval_percent,0.6,30.0,percentage,30.0%,True,,514.2706537246704,3,16.03,0.37,0.35
eval_percent,0.6,40.0,percentage,40.0%,True,,391.94841504096985,4,16.36,0.36,0.35
eval_percent,0.6,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,4,,,
eval_percent,0.6,20.0,percentage,20.0%,False,Process timeout (10 minutes),600.0,2,,,
eval_percent,0.6,60.0,percentage,60.0%,True,,259.7063295841217,2,18.54,0.35,0.34
eval_percent,0.6,80.0,percentage,80.0%,True,,201.63288378715515,4,21.14,0.34,0.33
eval_percent,0.6,70.0,percentage,70.0%,True,,222.51500368118286,3,19.23,0.35,0.34
eval_percent,0.6,50.0,percentage,50.0%,True,,298.12512969970703,1,16.54,0.36,0.34
eval_percent,0.6,90.0,percentage,90.0%,True,,173.99523210525513,1,22.59,0.35,0.34
eval_by_0.05,0.6,0.45,absolute,0.45s,True,,212.486483335495,4,20.35,0.36,0.35
eval_by_0.05,0.6,0.35,absolute,0.35s,True,,258.98721861839294,2,16.29,0.35,0.33
eval_by_0.05,0.6,0.3,absolute,0.3s,True,,299.61284470558167,3,16.54,0.36,0.34
eval_by_0.05,0.6,0.4,absolute,0.4s,True,,223.97618699073792,1,19.73,0.35,0.34
eval_by_0.05,0.6,0.55,absolute,0.55s,True,,168.28264665603638,2,21.64,0.34,0.33
eval_by_0.05,0.6,0.5,absolute,0.5s,True,,184.71602296829224,3,20.04,0.35,0.34
eval_by_0.05,0.6,0.6,absolute,0.6s,True,,155.91877102851868,4,20.6,0.34,0.34
eval_percent,0.5,100.0,percentage,100.0%,True,,169.3014693260193,2,23.61,0.35,0.34
eval_percent,0.5,10.0,percentage,10.0%,False,Process timeout (10 minutes),600.0,1,,,
eval_percent,0.5,40.0,percentage,40.0%,True,,427.1015648841858,1,17.01,0.37,0.35
eval_percent,0.5,30.0,percentage,30.0%,True,,551.9186186790466,4,17.93,0.37,0.35
eval_percent,0.5,20.0,percentage,20.0%,False,Process timeout (10 minutes),600.0,3,,,
eval_percent,0.5,70.0,percentage,70.0%,True,,246.78084087371826,4,20.58,0.36,0.34
eval_percent,0.5,80.0,percentage,80.0%,True,,219.03095054626465,1,21.32,0.36,0.34
eval_percent,0.5,60.0,percentage,60.0%,True,,276.0872883796692,3,18.09,0.36,0.34
eval_percent,0.5,50.0,percentage,50.0%,True,,317.1293284893036,2,18.49,0.36,0.34
eval_percent,0.5,90.0,percentage,90.0%,True,,185.82474279403687,2,23.8,0.35,0.33
eval_by_0.05,0.5,0.35,absolute,0.35s,True,,241.62570333480835,4,20.58,0.36,0.34
