eval_type,window_size,window_name,stride_info,stride_name,success,duration_seconds,worker_id,combined_iou,binary_f1,multiclass_f1
eval_by_0.05,2.0,window_2.0s,1.7s,stride_1.7s,True,14.344378232955933,1,0.1616,0.32,0.284
eval_by_0.05,2.0,window_2.0s,1.85s,stride_1.85s,True,13.75040078163147,2,0.1329,0.342,0.288
eval_by_0.05,2.0,window_2.0s,1.8s,stride_1.8s,True,14.089728355407715,3,0.1511,0.333,0.285
eval_by_0.05,2.0,window_2.0s,1.95s,stride_1.95s,True,14.284915208816528,4,0.2999,0.329,0.283
eval_by_0.05,2.0,window_2.0s,1.9s,stride_1.9s,True,13.306485652923584,1,0.3156,0.328,0.278
eval_by_0.05,2.0,window_2.0s,2.0s,stride_2.0s,True,13.14572787284851,2,0.1543,0.319,0.289
eval_percent,0.3,window_0.3s,100.0%,stride_100.0%,True,53.262192249298096,4,0.3161,0.384,0.321
eval_percent,0.3,window_0.3s,30.0%,stride_30.0%,True,93.90002703666687,2,0.2995,0.402,0.33
eval_percent,0.3,window_0.3s,20.0%,stride_20.0%,True,103.21933794021606,1,0.2883,0.4,0.311
eval_percent,0.3,window_0.3s,10.0%,stride_10.0%,True,122.55076050758362,3,0.2792,0.402,0.297
eval_percent,0.3,window_0.3s,40.0%,stride_40.0%,True,83.63778138160706,3,0.3061,0.398,0.32
eval_percent,0.3,window_0.3s,60.0%,stride_60.0%,True,71.303151845932,1,0.3122,0.393,0.33
eval_percent,0.3,window_0.3s,50.0%,stride_50.0%,True,78.11425375938416,4,0.3116,0.4,0.342
eval_percent,0.3,window_0.3s,70.0%,stride_70.0%,True,69.52964496612549,2,0.3348,0.379,0.315
eval_percent,0.3,window_0.3s,80.0%,stride_80.0%,True,62.32759141921997,3,0.3404,0.39,0.323
eval_percent,0.4,window_0.4s,100.0%,stride_100.0%,True,41.89696216583252,2,0.3014,0.391,0.342
eval_percent,0.3,window_0.3s,90.0%,stride_90.0%,True,60.62238645553589,4,0.3263,0.384,0.327
eval_percent,0.4,window_0.4s,10.0%,stride_10.0%,True,90.31714916229248,1,0.261,0.398,0.306
