eval_type,window,stride,success,duration_seconds,worker_id,window_f1,word_f1,combined_iou
eval_by_0.05,window_2.0s,stride_2.0s_sample,True,31.799073934555054,3,0.3333,0.0261,0.0011
eval_percent,window_0.3s,stride_100.0%,True,701.8313360214233,1,0.073,0.8964,0.2312
eval_percent,window_0.3s,stride_30.0%,True,2035.3960130214691,3,0.0727,0.9825,0.1856
eval_percent,window_0.3s,stride_40.0%,True,1550.9394354820251,4,0.0723,0.9811,0.2108
eval_percent,window_0.3s,stride_20.0%,True,2808.8418843746185,2,0.0717,0.992,0.1711
eval_percent,window_0.3s,stride_50.0%,True,1194.9433398246765,1,0.0736,0.9686,0.2286
eval_percent,window_0.3s,stride_60.0%,True,1033.0482358932495,2,0.0712,0.9544,0.222
eval_percent,window_0.3s,stride_70.0%,True,866.758540391922,3,0.073,0.9382,0.2534
eval_percent,window_0.3s,stride_90.0%,True,728.2540330886841,1,0.0743,0.9059,0.2423
eval_percent,window_0.3s,stride_80.0%,True,795.6562180519104,4,0.0738,0.9322,0.249
eval_percent,window_0.4s,stride_100.0%,True,608.9330759048462,3,0.1003,0.8261,0.178
eval_percent,window_0.3s,stride_10.0%,True,5012.726710796356,4,0.0729,0.996,0.1328
eval_percent,window_0.4s,stride_30.0%,True,1623.9644894599915,1,0.1013,0.9658,0.1607
eval_percent,window_0.4s,stride_40.0%,True,1300.0001583099365,2,0.0998,0.9558,0.1688
eval_percent,window_0.4s,stride_20.0%,True,2345.0159454345703,4,0.1003,0.977,0.1454
eval_percent,window_0.4s,stride_70.0%,True,808.7034950256348,1,0.1011,0.9075,0.2049
eval_percent,window_0.4s,stride_60.0%,True,896.483852148056,4,0.1015,0.9246,0.184
eval_percent,window_0.4s,stride_50.0%,True,1001.3291385173798,3,0.1007,0.9456,0.1878
eval_percent,window_0.5s,stride_100.0%,True,393.5531713962555,4,0.123,0.7707,0.145
eval_percent,window_0.4s,stride_80.0%,True,748.7170324325562,2,0.0984,0.875,0.1852
eval_percent,window_0.4s,stride_10.0%,True,4362.038256883621,2,0.0994,0.9811,0.1312
eval_percent,window_0.5s,stride_40.0%,True,989.2780184745789,3,0.1273,0.9246,0.1465
eval_percent,window_0.5s,stride_30.0%,True,1226.5809240341187,2,0.1261,0.9382,0.1387
eval_percent,window_0.5s,stride_20.0%,True,1667.2548949718475,1,0.1269,0.9615,0.1309
eval_percent,window_0.5s,stride_50.0%,True,726.3457622528076,4,0.1235,0.9012,0.1498
eval_percent,window_0.5s,stride_60.0%,True,637.1802496910095,1,0.1288,0.88,0.1553
eval_percent,window_0.5s,stride_70.0%,True,554.4453737735748,2,0.1259,0.8545,0.1561
eval_percent,window_0.5s,stride_80.0%,True,475.43393778800964,3,0.1273,0.8369,0.1597
eval_percent,window_0.5s,stride_90.0%,True,439.86283779144287,4,0.1243,0.8,0.1509
eval_percent,window_0.5s,stride_10.0%,True,3130.798814535141,3,0.1255,0.9714,0.1145
eval_percent,window_0.6s,stride_100.0%,True,352.7022864818573,2,0.1467,0.7077,0.1153
eval_percent,window_0.6s,stride_30.0%,True,1131.0090522766113,4,0.1476,0.9043,0.1208
eval_percent,window_0.6s,stride_40.0%,True,889.0704760551453,1,0.1464,0.885,0.13
eval_percent,window_0.6s,stride_20.0%,True,1563.9738500118256,3,0.1472,0.9382,0.1164
eval_percent,window_0.6s,stride_60.0%,True,582.8679206371307,3,0.1463,0.8405,0.1325
eval_percent,window_0.6s,stride_50.0%,True,667.7104442119598,2,0.146,0.8614,0.1294
eval_percent,window_0.6s,stride_70.0%,True,475.2566430568695,4,0.1472,0.8113,0.1317
eval_percent,window_0.6s,stride_80.0%,True,449.8025612831116,1,0.137,0.7566,0.1201
eval_percent,window_0.6s,stride_90.0%,True,416.52413535118103,2,0.152,0.7442,0.1273
eval_percent,window_0.7s,stride_100.0%,True,331.8381848335266,4,0.1485,0.6279,0.0889
eval_percent,window_0.6s,stride_10.0%,True,3096.9526755809784,1,0.1486,0.9572,0.1058
eval_percent,window_0.7s,stride_40.0%,True,880.1636984348297,3,0.1617,0.8387,0.1086
eval_percent,window_0.7s,stride_30.0%,True,1092.4486215114594,2,0.1679,0.8817,0.1053
eval_percent,window_0.7s,stride_20.0%,True,1528.634837627411,1,0.1628,0.9012,0.099
eval_percent,window_0.7s,stride_50.0%,True,655.9662446975708,4,0.1604,0.8132,0.1051
eval_percent,window_0.7s,stride_60.0%,True,574.8261263370514,1,0.1668,0.7846,0.1122
eval_percent,window_0.7s,stride_70.0%,True,483.103444814682,2,0.1611,0.7647,0.1084
eval_percent,window_0.7s,stride_90.0%,True,412.859623670578,4,0.1732,0.7121,0.107
eval_percent,window_0.7s,stride_80.0%,True,447.0430290699005,3,0.1528,0.692,0.1033
eval_percent,window_0.7s,stride_10.0%,True,2819.396194934845,3,0.1658,0.9307,0.0887
